campaign_name,ad_group_name,keyword,spend,impressions,clicks,conversion_rate,revenue,conv_rate_pct,platform,product_category,category_grouped,ctr,cpc,conversions,cpa,roas,aov,funnel_stage,ad_set_name,ad_name
Tech - Laptops,Gaming Laptops,best gaming laptop 2024,1500.5,25000.0,500.0,2025-05-02 00:00:00,7500.0,2.0,Google,Tech,Tech,0.02,3.001,10.0,150.05,4.998333888703765,750.0,Search,,best gaming laptop 2024
Clothes - Menswear,T-Shirts,mens graphic tees,800.2,15000.0,300.0,3.0,3600.0,3.0,Google,Clothes,Fashion,0.02,2.6673333333333336,9.0,88.91111111111111,4.498875281179705,400.0,Search,,mens graphic tees
Home Appliances - Refrigerators,French Door Refrigerators,french door fridge sale,1200.75,20000.0,400.0,2025-08-01 00:00:00,5600.0,1.0,Google,Home Appliances,HomeComfort,0.02,3.001875,4.0,300.1875,4.663751821778056,1400.0,Search,,french door fridge sale
Tech - Smartphones,Android Phones,new android phone deals,1800.9,30000.0,600.0,2025-02-02 00:00:00,9000.0,2.0,Google,Tech,Tech,0.02,3.0015,12.0,150.07500000000002,4.997501249375312,750.0,Search,,new android phone deals
Clothes - Womenswear,Summer Dresses,women's floral dress,950.3,18000.0,350.0,2025-05-03 00:00:00,4200.0,3.0,Google,Clothes,Fashion,0.019444444444444445,2.715142857142857,10.5,90.5047619047619,4.419656950436704,400.0,Search,,women's floral dress
Home Appliances - Washing Machines,Front Load Washers,energy efficient washing machine,1100.6,19000.0,380.0,2.0,5000.0,2.0,Google,Home Appliances,HomeComfort,0.02,2.896315789473684,7.6000000000000005,144.8157894736842,4.54297655824096,657.8947368421052,Search,,energy efficient washing machine
Tech - Headphones,Noise Cancelling Headphones,best noise cancelling headphones,1600.4,27000.0,550.0,2025-08-02 00:00:00,8250.0,2.0,Google,Tech,Tech,0.020370370370370372,2.909818181818182,11.0,145.4909090909091,5.154961259685078,750.0,Search,,best noise cancelling headphones
Clothes - Kids Apparel,Boys T-Shirts,kids superhero t shirts,700.1,13000.0,250.0,4.0,2500.0,4.0,Google,Clothes,Fashion,0.019230769230769232,2.8004000000000002,10.0,70.01,3.570918440222825,250.0,Search,,kids superhero t shirts
Home Appliances - Ovens,Convection Ovens,electric convection oven,1300.8,22000.0,420.0,2025-05-01 00:00:00,5460.0,1.0,Google,Home Appliances,HomeComfort,0.019090909090909092,3.097142857142857,4.2,309.71428571428567,4.197416974169742,1300.0,Search,,electric convection oven
Tech - Tablets,Drawing Tablets,digital drawing tablet for artists,1400.35,23000.0,480.0,2025-06-02 00:00:00,7200.0,2.0,Google,Tech,Tech,0.020869565217391306,2.917395833333333,9.6,145.86979166666666,5.141571749919663,750.0,Search,,digital drawing tablet for artists
Clothes - Menswear,Jeans,mens slim fit jeans,850.25,16000.0,320.0,2025-02-03 00:00:00,3840.0,3.0,Google,Clothes,Fashion,0.02,2.65703125,9.6,88.56770833333334,4.5163187297853575,400.0,Search,,mens slim fit jeans
Home Appliances - Microwaves,Countertop Microwaves,small countertop microwave,1000.55,17000.0,360.0,2025-01-02 00:00:00,4320.0,2.0,Google,Home Appliances,HomeComfort,0.021176470588235293,2.7793055555555553,7.2,138.96527777777777,4.317625306081656,600.0,Search,,small countertop microwave
Tech - Smartwatches,Fitness Trackers,best fitness smartwatch,1700.65,28000.0,580.0,2025-04-02 00:00:00,8700.0,2.0,Google,Tech,Tech,0.020714285714285713,2.9321551724137933,11.6,146.60775862068968,5.115691059300855,750.0,Search,,best fitness smartwatch
Clothes - Womenswear,Skirts,midi skirts for women,900.15,17000.0,330.0,2025-08-03 00:00:00,3960.0,3.0,Google,Clothes,Fashion,0.019411764705882354,2.7277272727272726,9.9,90.92424242424242,4.399266788868522,400.0,Search,,midi skirts for women
Home Appliances - Dishwashers,Built-in Dishwashers,quiet dishwasher stainless steel,1150.7,21000.0,410.0,2025-09-01 00:00:00,5330.0,1.0,Google,Home Appliances,HomeComfort,0.019523809523809523,2.8065853658536586,4.1,280.6585365853659,4.631963152863475,1300.0,Search,,quiet dishwasher stainless steel
Tech - Laptops,Ultrabooks,lightweight ultrabook laptop,1550.55,26000.0,520.0,2025-03-02 00:00:00,7800.0,2.0,Google,Tech,Tech,0.02,2.981826923076923,10.4,149.09134615384613,5.03047305794718,750.0,Search,,lightweight ultrabook laptop
Clothes - Menswear,Shorts,mens cargo shorts,750.05,14000.0,280.0,2025-01-03 00:00:00,3360.0,3.0,Google,Clothes,Fashion,0.02,2.67875,8.4,89.29166666666666,4.479701353243118,400.0,Search,,mens cargo shorts
Home Appliances - Refrigerators,Top Freezer Refrigerators,affordable top freezer fridge,1050.65,18000.0,370.0,2025-07-01 00:00:00,4440.0,1.0,Google,Home Appliances,HomeComfort,0.020555555555555556,2.839594594594595,3.7,283.9594594594595,4.22595536096702,1200.0,Search,,affordable top freezer fridge
Tech - Smartphones,Budget Phones,cheap smartphones under 200,1750.85,29000.0,590.0,2.0,8850.0,2.0,Google,Tech,Tech,0.020344827586206895,2.967542372881356,11.8,148.3771186440678,5.05468772310592,750.0,Search,,cheap smartphones under 200
Clothes - Womenswear,Blouses,womens silk blouse,980.2,19000.0,360.0,2025-03-03 00:00:00,4320.0,3.0,Google,Clothes,Fashion,0.018947368421052633,2.722777777777778,10.799999999999999,90.75925925925927,4.407263823709447,400.00000000000006,Search,,womens silk blouse
Home Appliances - Washing Machines,Top Load Washers,large capacity top load washer,1120.7,20000.0,390.0,2025-01-02 00:00:00,5070.0,2.0,Google,Home Appliances,HomeComfort,0.0195,2.8735897435897435,7.8,143.67948717948718,4.523958240385473,650.0,Search,,large capacity top load washer
Tech - Headphones,Wireless Earbuds,true wireless earbuds bluetooth,1650.45,27500.0,560.0,2025-07-02 00:00:00,8400.0,2.0,Google,Tech,Tech,0.020363636363636365,2.947232142857143,11.200000000000001,147.36160714285714,5.089521039716441,749.9999999999999,Search,,true wireless earbuds bluetooth
Clothes - Kids Apparel,Girls Dresses,girls party dress,720.15,13500.0,260.0,2025-02-04 00:00:00,2600.0,4.0,Google,Clothes,Fashion,0.01925925925925926,2.769807692307692,10.4,69.2451923076923,3.6103589529959037,250.0,Search,,girls party dress
Home Appliances - Ovens,Wall Ovens,modern wall oven electric,1350.9,23000.0,430.0,2025-06-01 00:00:00,5400.0,1.0,Google,Home Appliances,HomeComfort,0.018695652173913044,3.1416279069767445,4.3,314.16279069767444,3.9973351099267154,1255.8139534883721,Search,,modern wall oven electric
Tech - Tablets,Kids Tablets,educational tablet for children,1450.4,24000.0,490.0,2025-05-02 00:00:00,7350.0,2.0,Google,Tech,Tech,0.020416666666666666,2.96,9.8,148.0,5.0675675675675675,750.0,Search,,educational tablet for children
Clothes - Menswear,Jackets,mens bomber jacket,920.3,17500.0,340.0,2025-04-03 00:00:00,4080.0,3.0,Google,Clothes,Fashion,0.019428571428571427,2.7067647058823527,10.2,90.22549019607844,4.43333695534065,400.0,Search,,mens bomber jacket
